IP,THR,AC,PSS
140.115.135.1,0,28,37.78571429
140.115.135.105,0.005208333,23,34
140.115.135.111,0,25,956.64
140.115.135.115,0,20,4750.7
140.115.135.121,0,25,634.12
140.115.135.127,0.006944444,28,32.85714286
140.115.135.128,0,22,35.54545455
140.115.135.129,0,22,37.63636364
140.115.135.130,0.006944444,21,37.23809524
140.115.135.132,0,9,1687.777778
140.115.135.135,0,8,810.25
140.115.135.149,0.020833333,11,299
140.115.135.151,0,2,2624
140.115.135.152,0,1,959
140.115.135.153,0,20,4526.4
140.115.135.156,0,1,1130
140.115.135.18,0,23,300.4347826
140.115.135.180,0,29,86.44827586
140.115.135.205,0,23,376.9565217
140.115.135.23,0,21,37.23809524
140.115.135.230,0,13,38.92307692
140.115.135.231,0,12,49.83333333
140.115.135.233,0,25,34.96
140.115.135.235,0,24,268.0833333
140.115.135.24,0,0,0
140.115.135.240,0,19,103687.1579
140.115.135.245,0.020833333,22,501.9090909
140.115.135.246,0,9,1349.333333
140.115.135.25,0,23,192.4782609
140.115.135.253,0,25,278.6
140.115.135.27,0,8,753.125
140.115.135.30,0.013888889,28,722.5714286
140.115.135.31,0,0,0
140.115.135.36,0,0,0
140.115.135.4,0,12,42.16666667
140.115.135.42,0,22,35.54545455
140.115.135.45,0,3,76.66666667
140.115.135.51,0,0,0
140.115.135.56,0,0,0
140.115.135.6,0,15,39.86666667
140.115.135.62,0,0,0
140.115.135.75,0.385911889,222,400288.2288
140.115.135.82,0,0,0
140.115.135.84,0.083564815,85,106976.5671
140.115.135.86,0,19,41.15789474
140.115.50.100,0.010416667,27,347.2962963
140.115.50.101,0,0,0
140.115.50.11,0,18,43.44444444
140.115.50.110,0,10,171.8
140.115.50.12,0,6,3205.666667
140.115.50.136,0,0,0
140.115.50.139,0,17,46
140.115.50.14,0.224262879,337,27709.92582
140.115.50.143,0,23,34
140.115.50.153,0,32,168.875
140.115.50.164,0,0,0
140.115.50.167,0.034920635,57,44864.07018
140.115.50.172,0,0,0
140.115.50.18,0,20,32.2
140.115.50.186,0,0,0
140.115.50.187,0.479166667,23,5508
140.115.50.19,0,22,39.72727273
140.115.50.21,0,20,39.1
140.115.50.210,0.07380133,2023,20107.37874
140.115.50.212,0,18,209.5555556
140.115.50.213,0.010416667,25,144.8
140.115.50.216,0,0,0
140.115.50.217,0,0,0
140.115.50.219,0,8,69
140.115.50.22,0,22,39.72727273
140.115.50.221,0,18,182.3888889
140.115.50.222,0,25,184.52
140.115.50.223,0,26,292.1923077
140.115.50.23,0,20,36.8
140.115.50.234,0,8,142.5
140.115.50.24,0.218171296,83,38178.07711
140.115.50.249,0,22,43.90909091
140.115.50.28,0,20,39.1
140.115.50.30,0,9,61.33333333
140.115.50.31,0.020833333,23,44
140.115.50.32,0,6,765.3333333
140.115.50.33,0,20,36.8
140.115.50.34,0,22,39.72727273
140.115.50.35,0,20,43.7
140.115.50.36,0.010416667,15,1412.733333
140.115.50.37,0,11,1810.272727
140.115.50.38,0,11,1175.272727
140.115.50.39,0.010416667,9,1301.888889
140.115.50.40,0.020833333,11,866.9090909
140.115.50.43,0,21,41.61904762
140.115.50.44,0,0,0
140.115.50.48,0,22,365.2272727
140.115.50.49,0,12,1066.416667
140.115.50.50,0.326041667,62,124.6774194
140.115.50.51,0,18,38.33333333
140.115.50.52,0,8,69
140.115.50.56,0.015625,24,1464.791667
140.115.50.59,0,19,46
140.115.50.62,0,17,43.29411765
140.115.50.65,0,20,41.4
140.115.50.71,0,5,99.6
140.115.50.74,0,20,46
140.115.50.75,0.041666667,10,484.9
140.115.50.83,0,23,40
140.115.50.86,0,0,0
140.115.50.98,0,22,39.72727273
140.115.50.99,0.258680556,54,3337.555556
140.115.51.10,0,3,321
140.115.51.100,0.020833333,32,1099.125
140.115.51.105,0,0,0
140.115.51.11,0,9,2831.444444
140.115.51.111,0,36,97.72222222
140.115.51.116,0.010416667,29,1625.068966
140.115.51.117,0,24,44.08333333
140.115.51.118,0,0,0
140.115.51.119,0,0,0
140.115.51.128,0,0,0
140.115.51.134,0.027777778,35,35711.78857
140.115.51.136,0.010416667,23,6251.826087
140.115.51.141,0,5,59.2
140.115.51.142,0,24,34.5
140.115.51.144,0,0,0
140.115.51.147,0,7,381.7142857
140.115.51.148,0,0,0
140.115.51.16,0,22,67.09090909
140.115.51.167,0.119295635,59,394.4067797
140.115.51.17,0,0,0
140.115.51.174,0,25,33.12
140.115.51.175,0,4,4547
140.115.51.176,0,7,2220.285714
140.115.51.181,0,1,971
140.115.51.191,0.015625,30,476.9666667
140.115.51.196,0,1,46
140.115.51.197,0,25,34.96
140.115.51.198,0.020833333,5,803
140.115.51.2,0,0,0
140.115.51.200,0,24,288.5833333
140.115.51.210,0,7,1433.857143
140.115.51.214,0.0625,36,201.0833333
140.115.51.215,0.077083333,72,935.5555556
140.115.51.216,0,0,0
140.115.51.220,0,0,0
140.115.51.222,0,18,198.8888889
140.115.51.224,0,23,40
140.115.51.232,0.010416667,38,178.8684211
140.115.51.233,0,20,41.4
140.115.51.234,0,0,0
140.115.51.235,0,23,38
140.115.51.238,0,20,36.8
140.115.51.249,0,22,37.63636364
140.115.51.26,0,25,33.12
140.115.51.27,0.020833333,10,552.3
140.115.51.3,0,1,242
140.115.51.30,0,25,36.8
140.115.51.32,0.020833333,39,231.9230769
140.115.51.34,0,24,34.5
140.115.51.35,0,22,37.63636364
140.115.51.38,0,21,32.85714286
140.115.51.41,0,18,40.88888889
140.115.51.51,0,0,0
140.115.51.61,0,0,0
140.115.51.66,0,5,721
140.115.51.71,0.006944444,24,122.0416667
140.115.51.75,0,0,0
140.115.51.78,0,24,363.125
140.115.51.86,0,25,33.12
140.115.51.87,0.026041667,30,1280.5
140.115.51.93,0,0,0
140.115.51.94,0,0,0
140.115.52.108,0,0,0
140.115.52.112,0,9,442.6666667
140.115.52.113,0,0,0
140.115.52.114,0.0625,33,1093.454545
140.115.52.117,0,0,0
140.115.52.12,0,0,0
140.115.52.123,0,20,257.05
140.115.52.126,0,16,46
140.115.52.127,0.005208333,36,148.1388889
140.115.52.13,0,21,37.23809524
140.115.52.15,0.010416667,29,1846.62069
140.115.52.162,0,22,310.8181818
140.115.52.165,0,22,33.45454545
140.115.52.176,0,0,0
140.115.52.178,0.006944444,9,454.4444444
140.115.52.179,0,1,920
140.115.52.180,0,23,78
140.115.52.181,0,23,253.7391304
140.115.52.185,0,0,0
140.115.52.188,0,23,32
140.115.52.19,0,21,32.85714286
140.115.52.190,0,7,563.5714286
140.115.52.193,0,21,39.42857143
140.115.52.194,0,13,31.84615385
140.115.52.2,0,18,169
140.115.52.20,0,21,35.04761905
140.115.52.21,0,23,38
140.115.52.23,0,20,39.1
140.115.52.27,0,22,35.54545455
140.115.52.3,0,24,28.75
140.115.52.31,0,18,2371.611111
140.115.52.32,0,0,0
140.115.52.37,0,0,0
140.115.52.4,0,2,917.5
140.115.52.40,0.020833333,2,683.5
140.115.52.48,0,29,151.7931034
140.115.52.51,0,0,0
140.115.52.52,0,0,0
140.115.52.6,0,21,35.04761905
140.115.52.60,0,0,0
140.115.52.74,0,0,0
140.115.52.78,0,20,39.1
140.115.52.88,0,0,0
140.115.52.9,0,21,37.23809524
140.115.52.95,0,20,34.5
140.115.53.100,0,0,0
140.115.53.104,0,19,36.31578947
140.115.53.107,0,28,31.21428571
140.115.53.108,0,0,0
140.115.53.109,0.006944444,22,33.45454545
140.115.53.111,0,26,24.76923077
140.115.53.113,0,20,40
140.115.53.114,0,23,36
140.115.53.115,0,18,38.33333333
140.115.53.117,0,12,30.66666667
140.115.53.120,0,22,35.54545455
140.115.53.121,0,23,36
140.115.53.130,0,0,0
140.115.53.131,0,1,76
140.115.53.132,0,1,1141
140.115.53.135,0,17,200.1764706
140.115.53.137,0,29,31.72413793
140.115.53.138,0,0,0
140.115.53.141,0,0,0
140.115.53.142,0,25,31.28
140.115.53.154,0,17,40.58823529
140.115.53.155,0,21,165.2380952
140.115.53.158,0.041666667,24,293.625
140.115.53.159,0,0,0
140.115.53.222,0,0,0
140.115.53.223,0,0,0
140.115.53.224,0,0,0
140.115.53.225,0,6,30.66666667
140.115.53.226,0,20,39.1
140.115.53.230,0,0,0
140.115.53.236,0,0,0
140.115.53.45,0,26,33.61538462
140.115.53.46,0,24,37.5
140.115.53.47,0,22,35.54545455
140.115.53.50,0,7,877.7142857
140.115.53.59,0,8,371.625
140.115.53.64,0,0,0
140.115.53.65,0.071180556,48,9403.145833
140.115.53.66,0,24,34.5
140.115.53.67,0,23,32
140.115.53.68,0,0,0
140.115.53.80,0,6,523.3333333
140.115.53.85,0,9,1526.111111
140.115.53.90,0,24,42.16666667
140.115.53.92,0.020833333,34,44.64705882
140.115.53.94,0,16,46
140.115.53.95,0,24,40.25
140.115.53.98,0,22,37.63636364
140.115.53.99,0,20,36.8
AVG,0.011392314,25.53231939,3359.51676
MAX,0.479166667,2023,400288.2288
MIN,0,0,0
